1,84,51,135
2,28,12,40
3,10,18,28
4,11,3,14
5,33,58,91
6,70,40,110
7,139,74,213
8,18,12,30
9,11,1,12
10,86,8,94
11,49,56,105
12,22,3,25
13,162,211,373
14,34,7,41
15,24,36,60
16,57,12,69
17,10,9,19
18,102,57,159
19,6,4,10
20,14,12,26
21,27,68,95
22,38,32,70
23,54,34,88
24,33,8,41
25,37,4,41
26,17,49,66
27,3,7,10
28,23,16,39
29,13,4,17
30,17,8,25
31,16,7,23
32,12,10,22
33,9,5,14
34,7,3,10
35,5,12,17
36,6,3,9
37,20,17,37
38,41,22,63
39,9,4,13
40,5,17,22
41,23,8,31
42,52,36,88
43,70,42,112
44,52,28,80
45,15,14,29
46,9,2,11
47,9,7,16
48,21,12,33
49,32,75,107
50,8,5,13
51,9,7,16
52,32,3,35
53,14,2,16
54,17,13,30
55,6,4,10
56,58,34,92
57,31,23,54
58,57,23,80
59,168,47,215
60,103,16,119
61,4,8,12
62,59,64,123
63,14,34,48
64,67,42,109
65,35,13,48
66,11,10,21
67,6,6,12
68,9,9,18
69,23,15,38
70,36,41,77
71,15,7,22
72,53,20,73
73,21,13,34
74,14,7,21
75,22,22,44
76,22,23,45
77,20,19,39
78,7,7,14
79,21,6,27
80,10,4,14
81,15,15,30
82,38,48,86
83,41,37,78
84,28,15,43
85,87,72,159
86,7,4,11
87,68,45,113
88,7,4,11
89,29,11,40
90,132,32,164
91,38,12,50
92,85,119,204
93,3,6,9
94,136,85,221
95,82,75,157
96,24,4,28
97,24,11,35
98,10,6,16
99,40,23,63
100,14,20,34
101,11,27,38
102,11,101,112
103,7,8,15
104,19,44,63
105,7,9,16
106,17,11,28
107,3,10,13
108,8,9,17
109,66,68,134
110,28,54,82
111,7,5,12
112,17,7,24
113,17,14,31
114,14,13,27
115,33,16,49
116,27,61,88
117,21,15,36
118,40,2,42
119,70,28,98
120,9,5,14
121,29,17,46
122,26,8,34
123,23,6,29
124,6,8,14
125,41,49,90
126,13,10,23
127,9,2,11
128,53,49,102
129,5,10,15
130,136,42,178
131,11,4,15
132,10,7,17
133,8,10,18
134,7,5,12
135,10,10,20
136,19,1,20
137,16,8,24
138,25,2,27
139,10,5,15
140,5,5,10
141,39,26,65
142,13,7,20
143,9,6,15
144,77,31,108
145,92,93,185
146,12,7,19
147,8,2,10
148,25,8,33
149,8,17,25
150,8,2,10
151,127,39,166
152,59,11,70
153,6,7,13
154,19,8,27
155,1,10,11
156,12,6,18
157,16,11,27
158,65,34,99
159,34,35,69
160,53,13,66
161,6,28,34
162,8,12,20
163,4,9,13
164,25,8,33
165,12,6,18
166,4,6,10
167,28,10,38
168,18,17,35
169,13,10,23
170,6,9,15
171,10,9,19
172,4,5,9
173,24,3,27
174,66,30,96
175,16,7,23
176,24,18,42
177,41,22,63
178,102,51,153
179,10,13,23
180,24,10,34
181,11,207,218
182,10,4,14
183,11,19,30
184,86,47,133
185,20,4,24
186,23,25,48
187,29,5,34
188,39,19,58
189,78,31,109
190,17,19,36
191,8,2,10
192,11,9,20
193,31,30,61
194,47,115,162
195,16,33,49
196,8,13,21
197,21,31,52
198,42,64,106
199,9,10,19
200,81,31,112
201,84,131,215
202,5,8,13
203,9,13,22
204,11,8,19
205,3,7,10
206,5,28,33
207,43,90,133
208,7,4,11
209,8,8,16
210,51,19,70
211,10,11,21
212,13,4,17
213,56,11,67
214,45,18,63
215,31,19,50
216,50,23,73
217,14,23,37
218,18,15,33
219,13,3,16
220,6,4,10
221,49,34,83
222,80,133,213
223,21,31,52
224,25,39,64
225,15,0,15
226,19,12,31
227,19,17,36
228,2,5,7
229,7,8,15
230,51,24,75
231,5,5,10
232,34,13,47
233,56,12,68
234,90,188,278
235,37,10,47
236,30,40,70
237,23,4,27
238,5,9,14
239,63,23,86
240,9,6,15
241,5,7,12
242,9,2,11
243,23,22,45
244,78,39,117
245,6,7,13
246,39,72,111
247,10,5,15
248,8,13,21
249,71,18,89
250,48,17,65
251,25,19,44
252,10,1,11
253,37,19,56
254,27,58,85
255,11,35,46
256,88,27,115
257,26,5,31
258,4,4,8
259,18,9,27
260,9,3,12
261,8,2,10
262,29,53,82
263,46,14,60
264,50,13,63
265,16,11,27
266,7,9,16
267,73,33,106
268,57,122,179
269,69,98,167
270,58,14,72
271,95,66,161
272,29,2,31
273,6,6,12
274,29,10,39
275,10,38,48
276,143,143,286
277,15,13,28
278,8,4,12
279,111,131,242
280,78,69,147
281,7,10,17
282,5,5,10
283,23,5,28
284,13,15,28
285,11,5,16
286,104,54,158
287,20,8,28
288,30,13,43
289,3,10,13
290,38,41,79
291,115,58,173
292,45,11,56
293,73,142,215
294,40,44,84
295,93,7,100
296,62,12,74
297,44,49,93
298,60,18,78
299,84,70,154
300,9,3,12
301,95,56,151
302,2,8,10
303,146,130,276
304,6,7,13
305,56,69,125
306,7,8,15
307,30,24,54
308,148,70,218
309,7,4,11
310,2,2,4
311,97,51,148
312,110,20,130
313,81,72,153
314,91,49,140
315,34,11,45
316,19,25,44
317,8,4,12
318,63,33,96
319,5,11,16
320,53,26,79
321,47,25,72
322,23,4,27
323,25,19,44
324,45,6,51
325,35,41,76
326,50,63,113
327,84,91,175
328,71,98,169
329,15,22,37
330,74,11,85
331,24,16,40
332,90,26,116
333,11,3,14
334,123,95,218
335,8,5,13
336,30,55,85
337,15,6,21
338,32,9,41
339,120,38,158
340,20,7,27
341,7,5,12
342,62,66,128
343,117,40,157
344,67,42,109
345,77,57,134
346,65,69,134
347,73,48,121
348,20,11,31
349,12,16,28
350,30,5,35
351,23,7,30
352,18,11,29
353,12,9,21
354,90,62,152
355,18,2,20
356,8,7,15
357,35,17,52
358,22,13,35
359,10,4,14
360,49,20,69
361,52,26,78
362,9,9,18
363,87,122,209
364,7,7,14
365,22,16,38
366,14,3,17
367,29,6,35
368,14,18,32
369,12,5,17
370,35,21,56
371,30,9,39
372,40,4,44
373,98,58,156
374,95,99,194
375,12,4,16
376,13,9,22
377,13,7,20
378,125,139,264
379,102,34,136
380,48,68,116
381,57,32,89
382,17,16,33
383,46,6,52
384,15,1,16
385,97,105,202
386,11,7,18
387,103,107,210
388,32,10,42
389,120,82,202
390,13,7,20
391,62,33,95
392,64,17,81
393,136,179,315
394,82,43,125
395,28,18,46
396,16,23,39
397,59,21,80
398,70,60,130
399,45,205,250
400,11,6,17
401,50,63,113
402,36,18,54
403,31,16,47
404,17,19,36
405,95,487,582
406,139,135,274
407,105,83,188
408,15,8,23
409,104,51,155
410,8,15,23
411,31,19,50
412,30,7,37
413,25,15,40
414,16,6,22
415,18,3,21
416,273,144,417
417,115,188,303
418,5,10,15
419,24,5,29
420,24,8,32
421,37,18,55
422,37,43,80
423,28,23,51
424,19,21,40
425,58,120,178
426,60,27,87
427,22,2,24
428,38,10,48
429,160,204,364
430,35,26,61
431,6,12,18
432,32,19,51
433,17,20,37
434,25,16,41
435,151,196,347
436,80,46,126
437,137,101,238
438,25,4,29
439,17,11,28
440,36,12,48
441,11,9,20
442,42,82,124
443,12,12,24
444,13,8,21
445,15,107,122
446,7,28,35
447,72,55,127
448,20,15,35
449,44,23,67
450,343,151,494
451,35,56,91
452,108,88,196
453,68,81,149
454,75,150,225
455,93,91,184
456,111,102,213
457,209,60,269
458,127,53,180
459,58,59,117
460,32,35,67
461,8,15,23
462,23,9,32
