http://dbpedia.org/ontology/language,4
http://xmlns.com/foaf/0.1/name,3
http://www.w3.org/2002/07/owl#sameAs,3
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,3
http://dbpedia.org/property/type,3
http://dbpedia.org/property/gross,3
http://dbpedia.org/ontology/wikiPageID,3
http://dbpedia.org/ontology/releaseDate,3
http://www.w3.org/2000/01/rdf-schema#comment,2
http://dbpedia.org/property/studio,2
http://dbpedia.org/property/music,2
http://dbpedia.org/property/writer,1
http://dbpedia.org/property/wordnet_type,1
http://dbpedia.org/property/released,1
http://dbpedia.org/property/producer,1
http://dbpedia.org/property/distributor,1
http://dbpedia.org/property/director,1
http://dbpedia.org/property/country,1
http://dbpedia.org/property/caption,1
http://dbpedia.org/ontology/runtime,1
Properties,Values
http://xmlns.com/foaf/0.1/isPrimaryTopicOf,0
http://www.w3.org/2000/01/rdf-schema#label,0
http://purl.org/dc/terms/subject,0
http://dbpedia.org/property/years,0
http://dbpedia.org/property/runtime,0
http://dbpedia.org/property/language,0
http://dbpedia.org/property/label,0
http://dbpedia.org/property/id,0
http://dbpedia.org/property/hasPhotoCollection,0
http://dbpedia.org/property/cinematography,0
http://dbpedia.org/property/budget,0
http://dbpedia.org/property/before,0
http://dbpedia.org/property/artist,0
http://dbpedia.org/ontology/writer,0
http://dbpedia.org/ontology/Work/runtime,0
http://dbpedia.org/ontology/wikiPageExternalLink,0
http://dbpedia.org/ontology/starring,0
http://dbpedia.org/ontology/producer,0
http://dbpedia.org/ontology/musicComposer,0
http://dbpedia.org/ontology/distributor,0
