Properties,Values
http://xmlns.com/foaf/0.1/name,6
http://dbpedia.org/property/years,6
http://dbpedia.org/ontology/wikiPageExternalLink,6
http://dbpedia.org/property/followedBy,7
http://dbpedia.org/ontology/wikiPageRevisionLink,4
http://dbpedia.org/property/pubDate,7
http://dbpedia.org/ontology/wikiPageEditLink,4
http://dbpedia.org/ontology/language,4
http://dbpedia.org/property/id,6
http://dbpedia.org/property/pages,2
http://dbpedia.org/ontology/mediaType,6
http://dbpedia.org/property/language,3
http://purl.org/dc/terms/subject,5
http://dbpedia.org/ontology/oclc,3
http://dbpedia.org/property/country,5
http://dbpedia.org/property/hasPhotoCollection,4
http://dbpedia.org/property/imageSize,6
http://dbpedia.org/property/congress,5
http://dbpedia.org/ontology/nonFictionSubject,6
http://dbpedia.org/ontology/publicationDate,4
http://dbpedia.org/ontology/isbn,3
http://dbpedia.org/ontology/literaryGenre,7
http://dbpedia.org/property/name,3
http://dbpedia.org/property/subject,3
http://dbpedia.org/property/caption,5
http://dbpedia.org/ontology/series,6
http://dbpedia.org/ontology/wikiPageLength,6
http://dbpedia.org/ontology/wikiPageModified,5
http://dbpedia.org/property/author,6
http://xmlns.com/foaf/0.1/homepage,3
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,5
http://dbpedia.org/property/publisher,6
http://dbpedia.org/ontology/dcc,6
http://dbpedia.org/property/isbn,3
http://dbpedia.org/ontology/wikiPageRevisionID,5
http://dbpedia.org/ontology/subsequentWork,7
http://dbpedia.org/property/precededBy,2
http://dbpedia.org/ontology/lcc,2
http://dbpedia.org/property/mediaType,6
http://dbpedia.org/property/published,7
http://xmlns.com/foaf/0.1/isPrimaryTopicOf,2
http://dbpedia.org/ontology/numberOfPages,5
http://dbpedia.org/ontology/country,7
http://dbpedia.org/property/genre,2
http://www.w3.org/2000/01/rdf-schema#comment,4
http://dbpedia.org/property/wikiPageUsesTemplate,3
http://www.w3.org/2002/07/owl#sameAs,6
http://dbpedia.org/property/series,4
http://dbpedia.org/ontology/previousWork,7
http://dbpedia.org/ontology/thumbnail,5
http://dbpedia.org/ontology/wikiPageExtracted,6
http://dbpedia.org/ontology/wikiPageID,5
http://dbpedia.org/ontology/author,7
http://dbpedia.org/property/dewey,5
http://dbpedia.org/property/titleOrig,2
http://dbpedia.org/property/oclc,4
http://dbpedia.org/property/after,3
http://dbpedia.org/property/before,2
http://xmlns.com/foaf/0.1/depiction,2
http://dbpedia.org/property/coverArtist,5
http://dbpedia.org/property/releaseDate,5
http://dbpedia.org/ontology/illustrator,7
http://dbpedia.org/ontology/abstract,6
http://dbpedia.org/ontology/wikiPageOutDegree,3
http://dbpedia.org/property/title,3
http://www.w3.org/2000/01/rdf-schema#label,2
http://dbpedia.org/ontology/publisher,5
http://dbpedia.org/ontology/wikiPageHistoryLink,5
http://dbpedia.org/ontology/coverArtist,7
http://dbpedia.org/property/illustrator,6
