Properties,Values
http://xmlns.com/foaf/0.1/name,5
http://dbpedia.org/property/years,3
http://dbpedia.org/ontology/wikiPageExternalLink,0
http://dbpedia.org/property/followedBy,7
http://dbpedia.org/ontology/wikiPageRevisionLink,2
http://dbpedia.org/property/pubDate,4
http://dbpedia.org/ontology/wikiPageEditLink,2
http://dbpedia.org/ontology/language,1
http://dbpedia.org/property/id,5
http://dbpedia.org/property/pages,2
http://dbpedia.org/ontology/mediaType,5
http://dbpedia.org/property/language,3
http://purl.org/dc/terms/subject,3
http://dbpedia.org/ontology/oclc,3
http://dbpedia.org/property/country,1
http://dbpedia.org/property/imageSize,0
http://dbpedia.org/property/congress,3
http://dbpedia.org/ontology/nonFictionSubject,3
http://dbpedia.org/ontology/publicationDate,3
http://dbpedia.org/ontology/isbn,1
http://dbpedia.org/ontology/literaryGenre,7
http://dbpedia.org/property/name,2
http://dbpedia.org/property/subject,2
http://dbpedia.org/property/caption,3
http://dbpedia.org/ontology/series,1
http://dbpedia.org/ontology/wikiPageLength,2
http://dbpedia.org/ontology/wikiPageModified,3
http://dbpedia.org/property/author,1
http://xmlns.com/foaf/0.1/homepage,1
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,4
http://dbpedia.org/property/publisher,1
http://dbpedia.org/ontology/dcc,1
http://dbpedia.org/property/isbn,0
http://dbpedia.org/ontology/wikiPageRevisionID,3
http://dbpedia.org/ontology/subsequentWork,4
http://dbpedia.org/property/precededBy,0
http://dbpedia.org/ontology/lcc,2
http://dbpedia.org/property/mediaType,5
http://dbpedia.org/property/published,2
http://xmlns.com/foaf/0.1/isPrimaryTopicOf,1
http://dbpedia.org/ontology/numberOfPages,2
http://dbpedia.org/ontology/country,5
http://dbpedia.org/property/genre,1
http://www.w3.org/2000/01/rdf-schema#comment,2
http://dbpedia.org/property/wikiPageUsesTemplate,2
http://www.w3.org/2002/07/owl#sameAs,2
http://dbpedia.org/property/series,2
http://dbpedia.org/ontology/previousWork,5
http://dbpedia.org/ontology/thumbnail,2
http://dbpedia.org/ontology/wikiPageExtracted,3
http://dbpedia.org/ontology/wikiPageID,3
http://dbpedia.org/ontology/author,5
http://dbpedia.org/property/dewey,3
http://dbpedia.org/property/titleOrig,2
http://dbpedia.org/property/after,3
http://dbpedia.org/property/before,2
http://xmlns.com/foaf/0.1/depiction,2
http://dbpedia.org/property/coverArtist,4
http://dbpedia.org/ontology/illustrator,3
http://dbpedia.org/ontology/abstract,3
http://dbpedia.org/ontology/wikiPageOutDegree,3
http://dbpedia.org/property/title,1
http://www.w3.org/2000/01/rdf-schema#label,2
http://dbpedia.org/ontology/publisher,1
http://dbpedia.org/ontology/wikiPageHistoryLink,3
http://dbpedia.org/ontology/coverArtist,6
http://dbpedia.org/property/illustrator,0
